slug;razdel;marka_v_prayse;cena_prays_2026_06
stk-13;otkosnye-stenki;СТК 13 (СТ-7) л/п;36938.0
uop-6;opornye-plity-op;УОП-6;12400.0
vd-8;kolodtsy-unifitsirovannye;ВД-8;5640.0
vg-10;kolodtsy-unifitsirovannye;ВГ-10;9160.0
vg-12;kolodtsy-unifitsirovannye;ВГ-12;12250.0
vg-15;kolodtsy-unifitsirovannye;ВГ-15;14550.0
vg-20;kolodtsy-unifitsirovannye;ВГ-20;30180.0
vs-10;kolodtsy-unifitsirovannye;ВС-10;8380.0
vs-12;kolodtsy-unifitsirovannye;ВС-12;11470.0
vs-15;kolodtsy-unifitsirovannye;ВС-15;14360.0
zk-1-100;vodopropusknye-truby-zk;ЗК 1.100;3436.0
zk-14-132;vodopropusknye-truby-zk;ЗК 14.132;13530.0
zk-16-132;vodopropusknye-truby-zk;ЗК 16.132;26001.0
zk-2-100;vodopropusknye-truby-zk;ЗК 2.100;4812.0
zk-3-100;vodopropusknye-truby-zk;ЗК 3.100;8078.0
zk-3-150;vodopropusknye-truby-zk;ЗК 3.150;12430.0
zk-3-200;vodopropusknye-truby-zk;ЗК 3.200;15855.0
zk-8-100;vodopropusknye-truby-zk;ЗК 8.100;17246.0
zk-8-150;vodopropusknye-truby-zk;ЗК 8.150;23559.0
zk-8-200;vodopropusknye-truby-zk;ЗК 8.200;31508.0
zk-9-100;vodopropusknye-truby-zk;ЗК 9.100;20800.0
zk-9-200;vodopropusknye-truby-zk;ЗК 9.200;37510.0
